pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
305,2a5ced161f21cd842339e737f9ebebfdb63a3fef,97d4b8e2e171fd73aba7b497d79693d5f31c3c43,spec/__snapshots__/mapbox.spec.ts.snap,spec/mapbox.spec.ts,,"Add mapbox.spec.ts
","diff --git a/spec/mapbox.spec.ts b/spec/mapbox.spec.ts
new file mode 100644
index 0000000..ecb99fc
--- /dev/null
+++ b/spec/mapbox.spec.ts
@@ -0,0 +1,77 @@
+import { testXMLHttpRequest } from './mockXMLHttpRequest';
+import { Mapbox } from '../src/geocoders/mapbox';
+
+describe('L.Control.Geocoder.Mapbox', () => {
+  it('geocodes Milwaukee Ave', () => {
+    const geocoder = new Mapbox('0123');
+    const callback = jest.fn();
+    testXMLHttpRequest(
+      'https://api.mapbox.com/geocoding/v5/mapbox.places/Milwaukee%20Ave.json?access_token=0123',
+      {
+        type: 'FeatureCollection',
+        query: ['825', 's', 'milwaukee', 'ave', 'deerfield', 'il', '60015'],
+        features: [
+          {
+            id: 'address.4356035406756260',
+            type: 'Feature',
+            place_type: ['address'],
+            relevance: 1,
+            properties: {},
+            text: 'Milwaukee Ave',
+            place_name: '825 Milwaukee Ave, Deerfield, Illinois 60015, United States',
+            matching_text: 'South Milwaukee Avenue',
+            matching_place_name:
+              '825 South Milwaukee Avenue, Deerfield, Illinois 60015, United States',
+            center: [-87.921434, 42.166602],
+            geometry: {
+              type: 'Point',
+              coordinates: [-87.921434, 42.166602],
+              interpolated: true,
+              omitted: true
+            },
+            address: '825',
+            context: [
+              {
+                id: 'neighborhood.287187',
+                text: 'Lake Cook Road'
+              },
+              {
+                id: 'postcode.13903677306297990',
+                text: '60015'
+              },
+              {
+                id: 'place.5958304312090910',
+                wikidata: 'Q287895',
+                text: 'Deerfield'
+              },
+              {
+                id: 'region.3290978600358810',
+                short_code: 'US-IL',
+                wikidata: 'Q1204',
+                text: 'Illinois'
+              },
+              {
+                id: 'country.9053006287256050',
+                short_code: 'us',
+                wikidata: 'Q30',
+                text: 'United States'
+              }
+            ]
+          }
+        ],
+        attribution:
+          'NOTICE: © 2018 Mapbox and its suppliers. All rights reserved. Use of this data is subject to the Mapbox Terms of Service (https://www.mapbox.com/about/maps/). This response and the information it contains may not be retained. POI(s) provided by Foursquare.'
+      },
+      () => geocoder.geocode('Milwaukee Ave', callback)
+    );
+
+    const feature = callback.mock.calls[0][0][0];
+    expect(feature.name).toBe('825 Milwaukee Ave, Deerfield, Illinois 60015, United States');
+    expect(feature.center).toStrictEqual({ lat: 42.166602, lng: -87.921434 });
+    expect(feature.bbox).toStrictEqual({
+      _northEast: { lat: 42.166602, lng: -87.921434 },
+      _southWest: { lat: 42.166602, lng: -87.921434 }
+    });
+    expect(callback.mock.calls).toMatchSnapshot();
+  });
+});
",0,
305,2a5ced161f21cd842339e737f9ebebfdb63a3fef,95695e240b0312732547f092bb5e9b3b9a95f6c7,spec/__snapshots__/photon.spec.ts.snap,spec/photon.spec.ts,,"Add photon.spec.ts
","diff --git a/spec/photon.spec.ts b/spec/photon.spec.ts
new file mode 100644
index 0000000..3821b8f
--- /dev/null
+++ b/spec/photon.spec.ts
@@ -0,0 +1,65 @@
+import { testXMLHttpRequest } from './mockXMLHttpRequest';
+import { Photon } from '../src/geocoders/photon';
+import { GeocodingResult } from '../src/geocoders/interfaces';
+
+describe('L.Control.Geocoder.Photon', () => {
+  it('geocodes Innsbruck', () => {
+    const geocoder = new Photon();
+    const callback = jest.fn();
+    testXMLHttpRequest(
+      'https://photon.komoot.io/api/?q=Innsbruck',
+      {
+        features: [
+          {
+            geometry: { coordinates: [11.3927685, 47.2654296], type: 'Point' },
+            type: 'Feature',
+            properties: {
+              osm_id: 8182617,
+              osm_type: 'R',
+              extent: [11.3811871, 47.2808566, 11.4181209, 47.2583715],
+              country: 'Austria',
+              osm_key: 'place',
+              city: 'Innsbruck',
+              countrycode: 'AT',
+              osm_value: 'city',
+              name: 'Innsbruck',
+              state: 'Tyrol',
+              type: 'locality'
+            }
+          },
+          {
+            geometry: { coordinates: [11.3959095, 47.2690806], type: 'Point' },
+            type: 'Feature',
+            properties: {
+              osm_id: 7323902269,
+              country: 'Austria',
+              city: 'Innsbruck',
+              countrycode: 'AT',
+              postcode: '6020',
+              type: 'house',
+              osm_type: 'N',
+              osm_key: 'amenity',
+              housenumber: '1',
+              street: 'Universitätsstraße',
+              district: 'Innenstadt',
+              osm_value: 'music_school',
+              name: 'Mozarteum Innsbruck',
+              state: 'Tyrol'
+            }
+          }
+        ],
+        type: 'FeatureCollection'
+      },
+      () => geocoder.geocode('Innsbruck', callback)
+    );
+
+    const feature: GeocodingResult = callback.mock.calls[0][0][0];
+    expect(feature.name).toBe('Innsbruck, Innsbruck, Tyrol, Austria');
+    expect(feature.center).toStrictEqual({ lat: 47.2654296, lng: 11.3927685 });
+    expect(feature.bbox).toStrictEqual({
+      _northEast: { lat: 47.2808566, lng: 11.4181209 },
+      _southWest: { lat: 47.2583715, lng: 11.3811871 }
+    });
+    expect(callback.mock.calls).toMatchSnapshot();
+  });
+});
",0,
305,2a5ced161f21cd842339e737f9ebebfdb63a3fef,3d66a223cd9d0709c6be43708920936518719805,spec/__snapshots__/here.spec.ts.snap,spec/here.spec.ts,,"Add here.spec.ts
","diff --git a/spec/here.spec.ts b/spec/here.spec.ts
new file mode 100644
index 0000000..4d703e2
--- /dev/null
+++ b/spec/here.spec.ts
@@ -0,0 +1,87 @@
+import { testXMLHttpRequest } from './mockXMLHttpRequest';
+import { HERE } from '../src/geocoders/here';
+import { GeocodingResult } from '../src/geocoders/interfaces';
+
+describe('L.Control.Geocoder.HERE', () => {
+  it('geocodes Innsbruck', () => {
+    const geocoder = new HERE({ app_id: 'xxx', app_code: 'yyy' });
+    const callback = jest.fn();
+    testXMLHttpRequest(
+      'https://geocoder.api.here.com/6.2/geocode.json?searchtext=Innsbruck&gen=9&app_id=xxx&app_code=yyy&jsonattributes=1',
+      {
+        response: {
+          view: [
+            {
+              result: [
+                {
+                  relevance: 1,
+                  matchLevel: 'city',
+                  matchQuality: {
+                    city: 1
+                  },
+                  location: {
+                    locationId: 'NT_Q9dJCLiAU-LWKKq1nkKnGD',
+                    locationType: 'area',
+                    displayPosition: {
+                      latitude: 47.268,
+                      longitude: 11.3913
+                    },
+                    navigationPosition: [
+                      {
+                        latitude: 47.268,
+                        longitude: 11.3913
+                      }
+                    ],
+                    mapView: {
+                      topLeft: {
+                        latitude: 47.35922,
+                        longitude: 11.30194
+                      },
+                      bottomRight: {
+                        latitude: 47.21082,
+                        longitude: 11.45587
+                      }
+                    },
+                    address: {
+                      label: 'Innsbruck, Tirol, Österreich',
+                      country: 'AUT',
+                      state: 'Tirol',
+                      county: 'Innsbruck-Stadt',
+                      city: 'Innsbruck',
+                      postalCode: '6020',
+                      additionalData: [
+                        {
+                          value: 'Österreich',
+                          key: 'CountryName'
+                        },
+                        {
+                          value: 'Tirol',
+                          key: 'StateName'
+                        },
+                        {
+                          value: 'Innsbruck-Stadt',
+                          key: 'CountyName'
+                        }
+                      ]
+                    }
+                  }
+                }
+              ],
+              viewId: 0
+            }
+          ]
+        }
+      },
+      () => geocoder.geocode('Innsbruck', callback)
+    );
+
+    const feature: GeocodingResult = callback.mock.calls[0][0][0];
+    expect(feature.name).toBe('Innsbruck, Tirol, Österreich');
+    expect(feature.center).toStrictEqual({ lat: 47.268, lng: 11.3913 });
+    expect(feature.bbox).toStrictEqual({
+      _northEast: { lat: 47.35922, lng: 11.45587 },
+      _southWest: { lat: 47.21082, lng: 11.30194 }
+    });
+    expect(callback.mock.calls).toMatchSnapshot();
+  });
+});
",0,
305,2a5ced161f21cd842339e737f9ebebfdb63a3fef,2a5ced161f21cd842339e737f9ebebfdb63a3fef,spec/__snapshots__/google.spec.ts.snap,spec/google.spec.ts,,"Add google.spec.ts
","diff --git a/spec/google.spec.ts b/spec/google.spec.ts
new file mode 100644
index 0000000..587ae3b
--- /dev/null
+++ b/spec/google.spec.ts
@@ -0,0 +1,82 @@
+import { testXMLHttpRequest } from './mockXMLHttpRequest';
+import { Google } from '../src/geocoders/google';
+import { GeocodingResult } from '../src/geocoders/interfaces';
+
+describe('L.Control.Geocoder.Google', () => {
+  it('geocodes Innsbruck', () => {
+    const geocoder = new Google('0123xyz');
+    const callback = jest.fn();
+    testXMLHttpRequest(
+      'https://maps.googleapis.com/maps/api/geocode/json?key=0123xyz&address=Innsbruck',
+      {
+        results: [
+          {
+            address_components: [
+              {
+                long_name: 'Innsbruck',
+                short_name: 'Innsbruck',
+                types: ['locality', 'political']
+              },
+              {
+                long_name: 'Innsbruck',
+                short_name: 'Innsbruck',
+                types: ['administrative_area_level_2', 'political']
+              },
+              {
+                long_name: 'Tyrol',
+                short_name: 'Tyrol',
+                types: ['administrative_area_level_1', 'political']
+              },
+              {
+                long_name: 'Austria',
+                short_name: 'AT',
+                types: ['country', 'political']
+              }
+            ],
+            formatted_address: 'Innsbruck, Austria',
+            geometry: {
+              bounds: {
+                northeast: {
+                  lat: 47.3599301,
+                  lng: 11.45593
+                },
+                southwest: {
+                  lat: 47.21098000000001,
+                  lng: 11.3016499
+                }
+              },
+              location: {
+                lat: 47.2692124,
+                lng: 11.4041024
+              },
+              location_type: 'APPROXIMATE',
+              viewport: {
+                northeast: {
+                  lat: 47.3599301,
+                  lng: 11.45593
+                },
+                southwest: {
+                  lat: 47.21098000000001,
+                  lng: 11.3016499
+                }
+              }
+            },
+            place_id: 'ChIJc8r44c9unUcRDZsdKH0cIJ0',
+            types: ['locality', 'political']
+          }
+        ],
+        status: 'OK'
+      },
+      () => geocoder.geocode('Innsbruck', callback)
+    );
+
+    const feature: GeocodingResult = callback.mock.calls[0][0][0];
+    expect(feature.name).toBe('Innsbruck, Austria');
+    expect(feature.center).toStrictEqual({ lat: 47.2692124, lng: 11.4041024 });
+    expect(feature.bbox).toStrictEqual({
+      _northEast: { lat: 47.3599301, lng: 11.45593 },
+      _southWest: { lat: 47.21098000000001, lng: 11.3016499 }
+    });
+    expect(callback.mock.calls).toMatchSnapshot();
+  });
+});
",0,
352,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,spec/__snapshots__/arcgis.spec.ts.snap,spec/arcgis.spec.ts,,"tests: Migrate unit tests to Vitest
","diff --git a/spec/arcgis.spec.ts b/spec/arcgis.spec.ts
index 52cd821..8230b3a 100644
--- a/spec/arcgis.spec.ts
+++ b/spec/arcgis.spec.ts
@@ -1,10 +1,11 @@
+import { describe, expect, it, vi } from 'vitest';
 import { testXMLHttpRequest } from './mockXMLHttpRequest';
 import { ArcGis } from '../src/geocoders/arcgis';
 
 describe('L.Control.Geocoder.ArcGis', () => {
   it('geocodes Innsbruck', () => {
     const geocoder = new ArcGis();
-    const callback = jest.fn();
+    const callback = vi.fn();
     testXMLHttpRequest(
       'https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer/findAddressCandidates?token=&SingleLine=Innsbruck&outFields=Addr_Type&forStorage=false&maxLocations=10&f=json',
       {
",0,
352,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,spec/__snapshots__/google.spec.ts.snap,spec/google.spec.ts,,"tests: Migrate unit tests to Vitest
","diff --git a/spec/google.spec.ts b/spec/google.spec.ts
index 4004de7..16226af 100644
--- a/spec/google.spec.ts
+++ b/spec/google.spec.ts
@@ -1,3 +1,4 @@
+import { describe, expect, it, vi } from 'vitest';
 import { testXMLHttpRequest } from './mockXMLHttpRequest';
 import { Google } from '../src/geocoders/google';
 import { GeocodingResult } from '../src/geocoders/api';
@@ -5,7 +6,7 @@ import { GeocodingResult } from '../src/geocoders/api';
 describe('L.Control.Geocoder.Google', () => {
   it('geocodes Innsbruck', () => {
     const geocoder = new Google({ apiKey: '0123xyz' });
-    const callback = jest.fn();
+    const callback = vi.fn();
     testXMLHttpRequest(
       'https://maps.googleapis.com/maps/api/geocode/json?key=0123xyz&address=Innsbruck',
       {
",0,
352,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,spec/__snapshots__/here.spec.ts.snap,spec/here.spec.ts,,"tests: Migrate unit tests to Vitest
","diff --git a/spec/here.spec.ts b/spec/here.spec.ts
index 9c736dd..88e4426 100644
--- a/spec/here.spec.ts
+++ b/spec/here.spec.ts
@@ -1,3 +1,4 @@
+import { describe, expect, it, vi } from 'vitest';
 import { testXMLHttpRequest } from './mockXMLHttpRequest';
 import { HERE } from '../src/geocoders/here';
 import { HEREv2 } from '../src/geocoders/here';
@@ -6,7 +7,7 @@ import { GeocodingResult } from '../src/geocoders/api';
 describe('L.Control.Geocoder.HERE', () => {
   it('geocodes Innsbruck', () => {
     const geocoder = new HERE({ app_id: 'xxx', app_code: 'yyy' });
-    const callback = jest.fn();
+    const callback = vi.fn();
     testXMLHttpRequest(
       'https://geocoder.api.here.com/6.2/geocode.json?searchtext=Innsbruck&gen=9&app_id=xxx&app_code=yyy&jsonattributes=1&maxresults=5',
       {
@@ -91,7 +92,7 @@ describe('L.Control.Geocoder.HEREv2', () => {
   it('geocodes Innsbruck', () => {
     const geocodingParams = { at: '50.62925,3.057256' };
     const geocoder = new HEREv2({ apiKey: 'xxx', geocodingQueryParams: geocodingParams });
-    const callback = jest.fn();
+    const callback = vi.fn();
     testXMLHttpRequest(
       'https://geocode.search.hereapi.com/v1/discover?q=Innsbruck&apiKey=xxx&limit=10&at=50.62925%2C3.057256',
       {
",0,
352,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,spec/__snapshots__/mapbox.spec.ts.snap,spec/mapbox.spec.ts,,"tests: Migrate unit tests to Vitest
","diff --git a/spec/mapbox.spec.ts b/spec/mapbox.spec.ts
index 13a0c42..a0f6c21 100644
--- a/spec/mapbox.spec.ts
+++ b/spec/mapbox.spec.ts
@@ -1,10 +1,11 @@
+import { describe, expect, it, vi } from 'vitest';
 import { testXMLHttpRequest } from './mockXMLHttpRequest';
 import { Mapbox } from '../src/geocoders/mapbox';
 
 describe('L.Control.Geocoder.Mapbox', () => {
   it('geocodes Milwaukee Ave', () => {
     const geocoder = new Mapbox({ apiKey: '0123' });
-    const callback = jest.fn();
+    const callback = vi.fn();
     testXMLHttpRequest(
       'https://api.mapbox.com/geocoding/v5/mapbox.places/Milwaukee%20Ave.json?access_token=0123',
       {
",0,
352,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,spec/__snapshots__/nominatim.spec.ts.snap,spec/nominatim.spec.ts,,"tests: Migrate unit tests to Vitest
","diff --git a/spec/nominatim.spec.ts b/spec/nominatim.spec.ts
index f9ea9e2..1fecd11 100644
--- a/spec/nominatim.spec.ts
+++ b/spec/nominatim.spec.ts
@@ -1,3 +1,4 @@
+import { describe, expect, it, vi } from 'vitest';
 import { testXMLHttpRequest } from './mockXMLHttpRequest';
 import { Nominatim } from '../src/geocoders/nominatim';
 
@@ -5,7 +6,7 @@ describe('L.Control.Geocoder.Nominatim', () => {
   const geocoder = new Nominatim();
 
   it('geocodes Innsbruck', () => {
-    const callback = jest.fn();
+    const callback = vi.fn();
 
     testXMLHttpRequest(
       'https://nominatim.openstreetmap.org/search?q=innsbruck&limit=5&format=json&addressdetails=1',
@@ -54,7 +55,7 @@ describe('L.Control.Geocoder.Nominatim', () => {
   });
 
   it('reverse geocodes 47.3/11.3', () => {
-    const callback = jest.fn();
+    const callback = vi.fn();
 
     testXMLHttpRequest(
       'https://nominatim.openstreetmap.org/reverse?lat=47.3&lon=11.3&zoom=9&addressdetails=1&format=json',
",0,
352,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,spec/__snapshots__/pelias.spec.ts.snap,spec/pelias.spec.ts,,"tests: Migrate unit tests to Vitest
","diff --git a/spec/pelias.spec.ts b/spec/pelias.spec.ts
index 3cdf14f..32e8f1c 100644
--- a/spec/pelias.spec.ts
+++ b/spec/pelias.spec.ts
@@ -1,3 +1,4 @@
+import { describe, expect, it, vi } from 'vitest';
 import { testXMLHttpRequest } from './mockXMLHttpRequest';
 import { Openrouteservice } from '../src/geocoders/pelias';
 
@@ -5,7 +6,7 @@ describe('L.Control.Geocoder.Openrouteservice', () => {
   const geocoder = new Openrouteservice({ apiKey: '0123' });
 
   it('geocodes Innsbruck', () => {
-    const callback = jest.fn();
+    const callback = vi.fn();
     testXMLHttpRequest(
       'https://api.openrouteservice.org/geocode/search?api_key=0123&text=innsbruck',
       {
",0,
352,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,spec/__snapshots__/photon.spec.ts.snap,spec/photon.spec.ts,,"tests: Migrate unit tests to Vitest
","diff --git a/spec/photon.spec.ts b/spec/photon.spec.ts
index 5366608..463720a 100644
--- a/spec/photon.spec.ts
+++ b/spec/photon.spec.ts
@@ -1,3 +1,4 @@
+import { describe, expect, it, vi } from 'vitest';
 import { testXMLHttpRequest } from './mockXMLHttpRequest';
 import { Photon } from '../src/geocoders/photon';
 import { GeocodingResult } from '../src/geocoders/api';
@@ -5,7 +6,7 @@ import { GeocodingResult } from '../src/geocoders/api';
 describe('L.Control.Geocoder.Photon', () => {
   it('geocodes Innsbruck', () => {
     const geocoder = new Photon();
-    const callback = jest.fn();
+    const callback = vi.fn();
     testXMLHttpRequest(
       'https://photon.komoot.io/api/?q=Innsbruck',
       {
",0,
352,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,spec/__snapshots__/arcgis.spec.ts.snap,spec/arcgis.spec.ts,,"tests: Migrate unit tests to Vitest
","diff --git a/spec/arcgis.spec.ts b/spec/arcgis.spec.ts
index 52cd821..8230b3a 100644
--- a/spec/arcgis.spec.ts
+++ b/spec/arcgis.spec.ts
@@ -1,10 +1,11 @@
+import { describe, expect, it, vi } from 'vitest';
 import { testXMLHttpRequest } from './mockXMLHttpRequest';
 import { ArcGis } from '../src/geocoders/arcgis';
 
 describe('L.Control.Geocoder.ArcGis', () => {
   it('geocodes Innsbruck', () => {
     const geocoder = new ArcGis();
-    const callback = jest.fn();
+    const callback = vi.fn();
     testXMLHttpRequest(
       'https://geocode.arcgis.com/arcgis/rest/services/World/GeocodeServer/findAddressCandidates?token=&SingleLine=Innsbruck&outFields=Addr_Type&forStorage=false&maxLocations=10&f=json',
       {
",0,
352,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,spec/__snapshots__/google.spec.ts.snap,spec/google.spec.ts,,"tests: Migrate unit tests to Vitest
","diff --git a/spec/google.spec.ts b/spec/google.spec.ts
index 4004de7..16226af 100644
--- a/spec/google.spec.ts
+++ b/spec/google.spec.ts
@@ -1,3 +1,4 @@
+import { describe, expect, it, vi } from 'vitest';
 import { testXMLHttpRequest } from './mockXMLHttpRequest';
 import { Google } from '../src/geocoders/google';
 import { GeocodingResult } from '../src/geocoders/api';
@@ -5,7 +6,7 @@ import { GeocodingResult } from '../src/geocoders/api';
 describe('L.Control.Geocoder.Google', () => {
   it('geocodes Innsbruck', () => {
     const geocoder = new Google({ apiKey: '0123xyz' });
-    const callback = jest.fn();
+    const callback = vi.fn();
     testXMLHttpRequest(
       'https://maps.googleapis.com/maps/api/geocode/json?key=0123xyz&address=Innsbruck',
       {
",0,
352,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,spec/__snapshots__/here.spec.ts.snap,spec/here.spec.ts,,"tests: Migrate unit tests to Vitest
","diff --git a/spec/here.spec.ts b/spec/here.spec.ts
index 9c736dd..88e4426 100644
--- a/spec/here.spec.ts
+++ b/spec/here.spec.ts
@@ -1,3 +1,4 @@
+import { describe, expect, it, vi } from 'vitest';
 import { testXMLHttpRequest } from './mockXMLHttpRequest';
 import { HERE } from '../src/geocoders/here';
 import { HEREv2 } from '../src/geocoders/here';
@@ -6,7 +7,7 @@ import { GeocodingResult } from '../src/geocoders/api';
 describe('L.Control.Geocoder.HERE', () => {
   it('geocodes Innsbruck', () => {
     const geocoder = new HERE({ app_id: 'xxx', app_code: 'yyy' });
-    const callback = jest.fn();
+    const callback = vi.fn();
     testXMLHttpRequest(
       'https://geocoder.api.here.com/6.2/geocode.json?searchtext=Innsbruck&gen=9&app_id=xxx&app_code=yyy&jsonattributes=1&maxresults=5',
       {
@@ -91,7 +92,7 @@ describe('L.Control.Geocoder.HEREv2', () => {
   it('geocodes Innsbruck', () => {
     const geocodingParams = { at: '50.62925,3.057256' };
     const geocoder = new HEREv2({ apiKey: 'xxx', geocodingQueryParams: geocodingParams });
-    const callback = jest.fn();
+    const callback = vi.fn();
     testXMLHttpRequest(
       'https://geocode.search.hereapi.com/v1/discover?q=Innsbruck&apiKey=xxx&limit=10&at=50.62925%2C3.057256',
       {
",0,
352,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,spec/__snapshots__/mapbox.spec.ts.snap,spec/mapbox.spec.ts,,"tests: Migrate unit tests to Vitest
","diff --git a/spec/mapbox.spec.ts b/spec/mapbox.spec.ts
index 13a0c42..a0f6c21 100644
--- a/spec/mapbox.spec.ts
+++ b/spec/mapbox.spec.ts
@@ -1,10 +1,11 @@
+import { describe, expect, it, vi } from 'vitest';
 import { testXMLHttpRequest } from './mockXMLHttpRequest';
 import { Mapbox } from '../src/geocoders/mapbox';
 
 describe('L.Control.Geocoder.Mapbox', () => {
   it('geocodes Milwaukee Ave', () => {
     const geocoder = new Mapbox({ apiKey: '0123' });
-    const callback = jest.fn();
+    const callback = vi.fn();
     testXMLHttpRequest(
       'https://api.mapbox.com/geocoding/v5/mapbox.places/Milwaukee%20Ave.json?access_token=0123',
       {
",0,
352,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,spec/__snapshots__/nominatim.spec.ts.snap,spec/nominatim.spec.ts,,"tests: Migrate unit tests to Vitest
","diff --git a/spec/nominatim.spec.ts b/spec/nominatim.spec.ts
index f9ea9e2..1fecd11 100644
--- a/spec/nominatim.spec.ts
+++ b/spec/nominatim.spec.ts
@@ -1,3 +1,4 @@
+import { describe, expect, it, vi } from 'vitest';
 import { testXMLHttpRequest } from './mockXMLHttpRequest';
 import { Nominatim } from '../src/geocoders/nominatim';
 
@@ -5,7 +6,7 @@ describe('L.Control.Geocoder.Nominatim', () => {
   const geocoder = new Nominatim();
 
   it('geocodes Innsbruck', () => {
-    const callback = jest.fn();
+    const callback = vi.fn();
 
     testXMLHttpRequest(
       'https://nominatim.openstreetmap.org/search?q=innsbruck&limit=5&format=json&addressdetails=1',
@@ -54,7 +55,7 @@ describe('L.Control.Geocoder.Nominatim', () => {
   });
 
   it('reverse geocodes 47.3/11.3', () => {
-    const callback = jest.fn();
+    const callback = vi.fn();
 
     testXMLHttpRequest(
       'https://nominatim.openstreetmap.org/reverse?lat=47.3&lon=11.3&zoom=9&addressdetails=1&format=json',
",0,
352,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,spec/__snapshots__/pelias.spec.ts.snap,spec/pelias.spec.ts,,"tests: Migrate unit tests to Vitest
","diff --git a/spec/pelias.spec.ts b/spec/pelias.spec.ts
index 3cdf14f..32e8f1c 100644
--- a/spec/pelias.spec.ts
+++ b/spec/pelias.spec.ts
@@ -1,3 +1,4 @@
+import { describe, expect, it, vi } from 'vitest';
 import { testXMLHttpRequest } from './mockXMLHttpRequest';
 import { Openrouteservice } from '../src/geocoders/pelias';
 
@@ -5,7 +6,7 @@ describe('L.Control.Geocoder.Openrouteservice', () => {
   const geocoder = new Openrouteservice({ apiKey: '0123' });
 
   it('geocodes Innsbruck', () => {
-    const callback = jest.fn();
+    const callback = vi.fn();
     testXMLHttpRequest(
       'https://api.openrouteservice.org/geocode/search?api_key=0123&text=innsbruck',
       {
",0,
352,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,2d14de7ce7f42542732e2a81bf5a5d5bc787e873,spec/__snapshots__/photon.spec.ts.snap,spec/photon.spec.ts,,"tests: Migrate unit tests to Vitest
","diff --git a/spec/photon.spec.ts b/spec/photon.spec.ts
index 5366608..463720a 100644
--- a/spec/photon.spec.ts
+++ b/spec/photon.spec.ts
@@ -1,3 +1,4 @@
+import { describe, expect, it, vi } from 'vitest';
 import { testXMLHttpRequest } from './mockXMLHttpRequest';
 import { Photon } from '../src/geocoders/photon';
 import { GeocodingResult } from '../src/geocoders/api';
@@ -5,7 +6,7 @@ import { GeocodingResult } from '../src/geocoders/api';
 describe('L.Control.Geocoder.Photon', () => {
   it('geocodes Innsbruck', () => {
     const geocoder = new Photon();
-    const callback = jest.fn();
+    const callback = vi.fn();
     testXMLHttpRequest(
       'https://photon.komoot.io/api/?q=Innsbruck',
       {
",0,
